"date","business","dish","price"
"albert","5.80","11.07.2017","BBQ-Hähnchenkeule mit Wedges & Cole Slaw"
"albert","3.90","12.07.2017","Altmärkische Gemüsesuppe mit Eierstich"
"albert","5.00","12.07.2017","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen"
"albert","5.80","12.07.2017","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken"
"albert","3.90","13.07.2017","Italienische Minestrone"
"albert","5.00","13.07.2017","Spinat-Lasagne mit Tomatensauce & Schafskäse"
"albert","5.80","13.07.2017","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm"
"albert","3.90","14.07.2017","Grüne Bohneneintopf mit Kasseler"
"albert","5.00","14.07.2017","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons"
"albert","5.80","14.07.2017","Königsberger Klopse mit Erbsen-Karottengemüse &"
"dish","date","price","business"
"Erbsensuppe mit Speck","10.07.2017","3.90","albert"
"Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","10.07.2017","5.00","albert"
"Wurstgulasch mit Spirelli","10.07.2017","5.70","albert"
"Käse-Lauchsuppe","11.07.2017","3.90","albert"
"Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","11.07.2017","5.00","albert"
"BBQ-Hähnchenkeule mit Wedges & Cole Slaw","11.07.2017","5.80","albert"
"Altmärkische Gemüsesuppe mit Eierstich","12.07.2017","3.90","albert"
"Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","12.07.2017","5.00","albert"
"Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","12.07.2017","5.80","albert"
"Italienische Minestrone","13.07.2017","3.90","albert"
"Spinat-Lasagne mit Tomatensauce & Schafskäse","13.07.2017","5.00","albert"
"Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","13.07.2017","5.80","albert"
"Grüne Bohneneintopf mit Kasseler","14.07.2017","3.90","albert"
"Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","14.07.2017","5.00","albert"
"Königsberger Klopse mit Erbsen-Karottengemüse &","14.07.2017","5.80","albert"
"Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse","14.07.2017","7.00","albert"
"Klassisch mit Speck & Zwiebeln","14.07.2017","5.50","albert"
"Mozzarella, Tomate & frischer Basilikum","14.07.2017","5.50","albert"
"Rucola, Serranoschinken & Parmesan","14.07.2017","6.00","albert"
"Thunfisch & Zwiebeln","14.07.2017","6.00","albert"
"Erbsensuppe mit Speck","10.07.2017","3.90","albert"
"Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","10.07.2017","5.00","albert"
"Wurstgulasch mit Spirelli","10.07.2017","5.70","albert"
"Käse-Lauchsuppe","11.07.2017","3.90","albert"
"Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","11.07.2017","5.00","albert"
"BBQ-Hähnchenkeule mit Wedges & Cole Slaw","11.07.2017","5.80","albert"
"Altmärkische Gemüsesuppe mit Eierstich","12.07.2017","3.90","albert"
"Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","12.07.2017","5.00","albert"
"Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","12.07.2017","5.80","albert"
"Italienische Minestrone","13.07.2017","3.90","albert"
"Spinat-Lasagne mit Tomatensauce & Schafskäse","13.07.2017","5.00","albert"
"Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","13.07.2017","5.80","albert"
"Grüne Bohneneintopf mit Kasseler","14.07.2017","3.90","albert"
"Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","14.07.2017","5.00","albert"
"Königsberger Klopse mit Erbsen-Karottengemüse &","14.07.2017","5.80","albert"
"date","price","dish","business"
"10.07.2017","3.90","Erbsensuppe mit Speck","albert"
"10.07.2017","5.00","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","albert"
"10.07.2017","5.70","Wurstgulasch mit Spirelli","albert"
"11.07.2017","3.90","Käse-Lauchsuppe","albert"
"11.07.2017","5.00","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","albert"
"11.07.2017","5.80","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","albert"
"12.07.2017","3.90","Altmärkische Gemüsesuppe mit Eierstich","albert"
"12.07.2017","5.00","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","albert"
"12.07.2017","5.80","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","albert"
"13.07.2017","3.90","Italienische Minestrone","albert"
"13.07.2017","5.00","Spinat-Lasagne mit Tomatensauce & Schafskäse","albert"
"13.07.2017","5.80","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","albert"
"14.07.2017","3.90","Grüne Bohneneintopf mit Kasseler","albert"
"14.07.2017","5.00","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","albert"
"14.07.2017","5.80","Königsberger Klopse mit Erbsen-Karottengemüse &","albert"
"14.07.2017","7.00","Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse","albert"
"14.07.2017","5.50","Klassisch mit Speck & Zwiebeln","albert"
"14.07.2017","5.50","Mozzarella, Tomate & frischer Basilikum","albert"
"14.07.2017","6.00","Rucola, Serranoschinken & Parmesan","albert"
"14.07.2017","6.00","Thunfisch & Zwiebeln","albert"
"10.07.2017","3.90","Erbsensuppe mit Speck","albert"
"10.07.2017","5.00","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","albert"
"10.07.2017","5.70","Wurstgulasch mit Spirelli","albert"
"11.07.2017","3.90","Käse-Lauchsuppe","albert"
"11.07.2017","5.00","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","albert"
"11.07.2017","5.80","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","albert"
"12.07.2017","3.90","Altmärkische Gemüsesuppe mit Eierstich","albert"
"12.07.2017","5.00","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","albert"
"12.07.2017","5.80","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","albert"
"13.07.2017","3.90","Italienische Minestrone","albert"
"13.07.2017","5.00","Spinat-Lasagne mit Tomatensauce & Schafskäse","albert"
"13.07.2017","5.80","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","albert"
"14.07.2017","3.90","Grüne Bohneneintopf mit Kasseler","albert"
"14.07.2017","5.00","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","albert"
"14.07.2017","5.80","Königsberger Klopse mit Erbsen-Karottengemüse &","albert"
"price","dish","date","business"
"3.90","Erbsensuppe mit Speck","10.07.2017","albert"
"5.00","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","10.07.2017","albert"
"5.70","Wurstgulasch mit Spirelli","10.07.2017","albert"
"3.90","Käse-Lauchsuppe","11.07.2017","albert"
"5.00","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","11.07.2017","albert"
"5.80","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","11.07.2017","albert"
"3.90","Altmärkische Gemüsesuppe mit Eierstich","12.07.2017","albert"
"5.00","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","12.07.2017","albert"
"5.80","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","12.07.2017","albert"
"3.90","Italienische Minestrone","13.07.2017","albert"
"5.00","Spinat-Lasagne mit Tomatensauce & Schafskäse","13.07.2017","albert"
"5.80","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","13.07.2017","albert"
"3.90","Grüne Bohneneintopf mit Kasseler","14.07.2017","albert"
"5.00","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","14.07.2017","albert"
"5.80","Königsberger Klopse mit Erbsen-Karottengemüse &","14.07.2017","albert"
"7.00","Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse","14.07.2017","albert"
"5.50","Klassisch mit Speck & Zwiebeln","14.07.2017","albert"
"5.50","Mozzarella, Tomate & frischer Basilikum","14.07.2017","albert"
