"price","dish","date","ingredients","business","location"
"5,40/5,80","Linsensalat mit braunen Linsen, Hirtenkäse, Spinat, Fenchel, Weintrauben und einem hausgemachten Orangendressing, auf Wunsch mit Hähnchenbrustfilet","27.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Linsensalat mit braunen Linsen, Hirtenkäse, Spinat, Fenchel, Weintrauben und einem hausgemachten Orangendressing, auf Wunsch mit Hähnchenbrustfilet","28.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet","24.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet","25.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet","26.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet","27.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet","28.07.2017","","Suppencult","Alexanderplatz"
"4,30","Gemüseeintopf mit Kartoffeln, Zucchini, Blumenkohl, Möhren, Kohlrabi, einem hausgemachten Kräuterquarkdip und frischem Schnittlauch","24.07.2017","","Suppencult","Alexanderplatz"
"4,30","Gemüseeintopf mit Kartoffeln, Zucchini, Blumenkohl, Möhren, Kohlrabi, einem hausgemachten Kräuterquarkdip und frischem Schnittlauch","25.07.2017","","Suppencult","Alexanderplatz"
"4,30","Gemüseeintopf mit Kartoffeln, Zucchini, Blumenkohl, Möhren, Kohlrabi, einem hausgemachten Kräuterquarkdip und frischem Schnittlauch","26.07.2017","","Suppencult","Alexanderplatz"
"4,30","Gemüseeintopf mit Kartoffeln, Zucchini, Blumenkohl, Möhren, Kohlrabi, einem hausgemachten Kräuterquarkdip und frischem Schnittlauch","27.07.2017","","Suppencult","Alexanderplatz"
"4,30","Gemüseeintopf mit Kartoffeln, Zucchini, Blumenkohl, Möhren, Kohlrabi, einem hausgemachten Kräuterquarkdip und frischem Schnittlauch","28.07.2017","","Suppencult","Alexanderplatz"
"4,30","Currytopf mit Kartoffeln, Blumenkohl, Tomaten, Erbsen, Ingwer, Crème fraiche und frischem Koriander","24.07.2017","","Suppencult","Alexanderplatz"
"4,30","Currytopf mit Kartoffeln, Blumenkohl, Tomaten, Erbsen, Ingwer, Crème fraiche und frischem Koriander","25.07.2017","","Suppencult","Alexanderplatz"
"4,30","Currytopf mit Kartoffeln, Blumenkohl, Tomaten, Erbsen, Ingwer, Crème fraiche und frischem Koriander","26.07.2017","","Suppencult","Alexanderplatz"
"4,30","Currytopf mit Kartoffeln, Blumenkohl, Tomaten, Erbsen, Ingwer, Crème fraiche und frischem Koriander","27.07.2017","","Suppencult","Alexanderplatz"
"4,30","Currytopf mit Kartoffeln, Blumenkohl, Tomaten, Erbsen, Ingwer, Crème fraiche und frischem Koriander","28.07.2017","","Suppencult","Alexanderplatz"
"4,40","Tomaten-Basilikum-Creme mit Mozzarella und Sahne","24.07.2017","","Suppencult","Alexanderplatz"
"4,40","Tomaten-Basilikum-Creme mit Mozzarella und Sahne","25.07.2017","","Suppencult","Alexanderplatz"
