"ingredients","business","dish","price","location","date"
"Vegetarian;Bio","Jouis Nour","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","5.9","Adlershof","2017-07-20 00:00:00"
"Vegetarian;Soup;Bio","Jouis Nour","Kohlrabicreme-Suppe mit Schnittlauch","4","Adlershof","2017-07-20 00:00:00"
"Bio","Jouis Nour","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","7","Adlershof","2017-07-21 00:00:00"
"Vegetarian;Bio","Jouis Nour","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","5.5","Adlershof","2017-07-21 00:00:00"
"Vegan;Vegetarian;Bio","Jouis Nour","Blumenkohl-Süppchen mit gerösteten Haferflocken","4","Adlershof","2017-07-21 00:00:00"
"Bio","Jouis Nour","Schaschlik-Spieß mit ungarische, Letscho und Reis","7.5","Adlershof","2017-07-24 00:00:00"
"Vegetarian;Bio","Jouis Nour","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","5.9","Adlershof","2017-07-24 00:00:00"
"Vegan;Vegetarian;Soup;Bio","Jouis Nour","Paprika-Mais Suppe mit Sonnenblumenkerne","4","Adlershof","2017-07-24 00:00:00"
"Bio","Jouis Nour","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","7","Adlershof","2017-07-25 00:00:00"
"Vegetarian;Bio","Jouis Nour","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","5.9","Adlershof","2017-07-25 00:00:00"
"Vegetarian;Soup;Bio","Jouis Nour","Champignon-Cremesuppe mit frischen Kräutern","4","Adlershof","2017-07-25 00:00:00"
"Bio","Jouis Nour","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","7.5","Adlershof","2017-07-26 00:00:00"
"Vegetarian;Bio","Jouis Nour","Bandnudeln an Pfifferlingsrahm und Krischtomaten","5.9","Adlershof","2017-07-26 00:00:00"
"Vegetarian;Soup;Bio","Jouis Nour","Berliner Kartoffelsuppe mit Kräuterschmand","4","Adlershof","2017-07-26 00:00:00"
"Fish","Jouis Nour","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","7.9","Adlershof","2017-07-27 00:00:00"
"Vegetarian;Bio","Jouis Nour","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","5.9","Adlershof","2017-07-27 00:00:00"
"Vegetarian;Soup;Bio","Jouis Nour","Tomatencremesuppe mit Käse-Croutons","4","Adlershof","2017-07-27 00:00:00"
"Bio","Jouis Nour","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","7.5","Adlershof","2017-07-28 00:00:00"
"ingredients","business","dish","price","location","date"
"","Cafe Campus","Tomate Mozzarella Quiche","4.90","Adlershof","2017-09-11 00:00:00"
"","Cafe Campus","Tomate Mozzarella Quiche","4.90","Adlershof","2017-09-12 00:00:00"
"","Cafe Campus","Tomate Mozzarella Quiche","4.90","Adlershof","2017-09-13 00:00:00"
"","Cafe Campus","Tomate Mozzarella Quiche","4.90","Adlershof","2017-09-14 00:00:00"
"","Cafe Campus","Tomate Mozzarella Quiche","4.90","Adlershof","2017-09-15 00:00:00"
"Fish","Cafe Campus","Knackiger Salat mit gebratenem Lachsfilet","7.90","Adlershof","2017-09-11 00:00:00"
