"business","location","ingredients","date","dish","price"
"Esswirtschaft","Adlershof","","24.08.2017","Geschnetzeltes Züricher Art mit Champignons und Bandnudeln",""
"Esswirtschaft","Adlershof","","25.08.2017","Geschnetzeltes Züricher Art mit Champignons und Bandnudeln",""
"Esswirtschaft","Adlershof","Vegetarian","21.08.2017","Geschmorter Quinoa mit Oliven, Tomaten und Senfdressing",""
"Esswirtschaft","Adlershof","Vegetarian","22.08.2017","Geschmorter Quinoa mit Oliven, Tomaten und Senfdressing",""
"Esswirtschaft","Adlershof","Vegetarian","23.08.2017","Geschmorter Quinoa mit Oliven, Tomaten und Senfdressing",""
"Esswirtschaft","Adlershof","Vegetarian","24.08.2017","Geschmorter Quinoa mit Oliven, Tomaten und Senfdressing",""
"Esswirtschaft","Adlershof","Vegetarian","25.08.2017","Geschmorter Quinoa mit Oliven, Tomaten und Senfdressing",""
"Esswirtschaft","Adlershof","Vegetarian","21.08.2017","Gemischter Linsensalat im Glas mit Roter Bete und Feta",""
"Esswirtschaft","Adlershof","Vegetarian","22.08.2017","Gemischter Linsensalat im Glas mit Roter Bete und Feta",""
"Esswirtschaft","Adlershof","Vegetarian","23.08.2017","Gemischter Linsensalat im Glas mit Roter Bete und Feta",""
"Esswirtschaft","Adlershof","Vegetarian","24.08.2017","Gemischter Linsensalat im Glas mit Roter Bete und Feta",""
"Esswirtschaft","Adlershof","Vegetarian","25.08.2017","Gemischter Linsensalat im Glas mit Roter Bete und Feta",""
"Esswirtschaft","Adlershof","Soup","21.08.2017","Scharfe Kichererbsensuppe mit Kräuterschwein",""
"Esswirtschaft","Adlershof","Soup","22.08.2017","Scharfe Kichererbsensuppe mit Kräuterschwein",""
"Esswirtschaft","Adlershof","Soup","23.08.2017","Scharfe Kichererbsensuppe mit Kräuterschwein",""
"Esswirtschaft","Adlershof","Soup","24.08.2017","Scharfe Kichererbsensuppe mit Kräuterschwein",""
"Esswirtschaft","Adlershof","Soup","25.08.2017","Scharfe Kichererbsensuppe mit Kräuterschwein",""
"Esswirtschaft","Adlershof","Soup","21.08.2017","Schwäbische Spätzlesuppe mit Rindfleisch und Wurzelgemüse",""
"Esswirtschaft","Adlershof","Soup","22.08.2017","Schwäbische Spätzlesuppe mit Rindfleisch und Wurzelgemüse",""
"Esswirtschaft","Adlershof","Soup","23.08.2017","Schwäbische Spätzlesuppe mit Rindfleisch und Wurzelgemüse",""
"Esswirtschaft","Adlershof","Soup","24.08.2017","Schwäbische Spätzlesuppe mit Rindfleisch und Wurzelgemüse",""
"Esswirtschaft","Adlershof","Soup","25.08.2017","Schwäbische Spätzlesuppe mit Rindfleisch und Wurzelgemüse",""
"Esswirtschaft","Adlershof","Vegetarian;Soup","21.08.2017","Vegetarische Käsesuppe mit Kartoffelwürfel",""
"Esswirtschaft","Adlershof","Vegetarian;Soup","22.08.2017","Vegetarische Käsesuppe mit Kartoffelwürfel",""
"Esswirtschaft","Adlershof","Vegetarian;Soup","23.08.2017","Vegetarische Käsesuppe mit Kartoffelwürfel",""
"Esswirtschaft","Adlershof","Vegetarian;Soup","24.08.2017","Vegetarische Käsesuppe mit Kartoffelwürfel",""
"Esswirtschaft","Adlershof","Vegetarian;Soup","25.08.2017","Vegetarische Käsesuppe mit Kartoffelwürfel",""
"Esswirtschaft","Adlershof","","21.08.2017","Versteckte Bolognese mit Hackfleisch gefüllte Teigtaschen in Tomatenragout",""
"Esswirtschaft","Adlershof","Vegetarian","21.08.2017","Semmelknödel mit Pilzen im Schnittlauchrahm",""
"Esswirtschaft","Adlershof","","22.08.2017","Spaghetti Carbonara",""
"Esswirtschaft","Adlershof","Vegetarian","22.08.2017","Lauch-Zwiebel-Quiche mit Rauke und Parmesan",""
"Esswirtschaft","Adlershof","","23.08.2017","Rippchen mit Pflaumensauce, Sesam-Öl, junge Zwiebeln und Dampfnudeln",""
"Esswirtschaft","Adlershof","Vegetarian","23.08.2017","Pappardelle mit Mandel – Spinat – Sauce",""
"business","location","ingredients","date","dish","price"
"Jouis Nour","Adlershof","Bio","14.7.2017","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","7.5"
"Jouis Nour","Adlershof","Vegetarian;Bio","14.7.2017","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","5.9"
"Jouis Nour","Adlershof","Vegetarian;Bio;Soup","14.7.2017","Zucchinicremesuppe mit gerösteten Haferflocken","4.5"
"Jouis Nour","Adlershof","Bio","17.7.2017","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","7.5"
"Jouis Nour","Adlershof","Vegetarian;Bio","17.7.2017","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","5.9"
"Jouis Nour","Adlershof","Vegetarian;Bio;Soup","17.7.2017","Zucchinicremesuppe mit gerösteten Haferflocken","4.5"
