"business","price","dish","ingredients","date","location"
"Albert","6.00","Pflammkuchen: Thunfisch & Zwiebeln","Pflammkuchen;Fish","09.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Thunfisch & Zwiebeln","Pflammkuchen;Fish","10.08.2017","Adlershof"
"Albert","6.00","Pflammkuchen: Thunfisch & Zwiebeln","Pflammkuchen;Fish","11.08.2017","Adlershof"
"Esswirtschaft","","Ragout von weißen Bohnen mit Süßkartoffeln in Korianderfond und Kresse","Vegetarian","11.08.2017","Adlershof"
"Jouis Nour","7.5","Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat","Bio","31.7.2017","Adlershof"
"Jouis Nour","5.5","Spaghettimit Gemüsebolognese und Sonnenblumenkernen","Vegan;Bio;Vegetarian","31.7.2017","Adlershof"
"Jouis Nour","4.5","Feuriger Paprikatopf mit Tofustückchen","Vegan;Bio;Vegetarian","31.7.2017","Adlershof"
"Jouis Nour","4.5","Thai-Gemüsesuppe mit Kokosmilch und Hähnchen","Bio;Soup","1.8.2017","Adlershof"
"Jouis Nour","7.5","Tafelspitz mit Meerrettichsauce und Fingermöhren an Salzkartoffeln","Bio","1.8.2017","Adlershof"
"Jouis Nour","5.9","Griechischer Spinatauflauf mit Tzatziki und geröstetem Sesam","Bio;Vegetarian","1.8.2017","Adlershof"
"Jouis Nour","4","Spinatcremesuppe mit Tomatenwürfeln","Bio;Vegetarian;Soup","2.8.2017","Adlershof"
"Jouis Nour","7.5","Pikanter Gulasch vom Schwein mit Waldpilzen und Salzkartoffeln","Bio","2.8.2017","Adlershof"
"Jouis Nour","5.5","Pasta mit Gorgonzolasauce, Rucola und Kirschtomaten","Bio;Vegetarian","2.8.2017","Adlershof"
"Jouis Nour","4","Rote Linsensuppe mit Paprikastreifen","Vegan;Bio;Vegetarian;Soup","3.8.2017","Adlershof"
"Jouis Nour","7.9","Gebratener Rotbarsch mit Senfsauce, Kartoffeln und Rahmgurken","Fish","3.8.2017","Adlershof"
"Jouis Nour","5.9","Polenta-Porree-Auflauf mit gerösteten Sonnenblumenkernen und Tomaten-Pesto","Bio","3.8.2017","Adlershof"
"Jouis Nour","4","Kaltes Gurkensüppchen mit Tomaten-Kräuter-Pesto","Bio;Vegetarian","4.8.2017","Adlershof"
"Jouis Nour","7","Geflügelbällchen mit Paprika-Tomaten-Gemüse und Kartoffelecken","Bio","4.8.2017","Adlershof"
"Jouis Nour","5.5","Rahmspinat mit gekochten Eiern an Petersilienkartoffeln","Bio;Vegetarian","4.8.2017","Adlershof"
"Jouis Nour","4","Fruchtige Kürbissuppe mit gerösteten Kürbiskernen","Vegan;Bio;Vegetarian;Soup","7.8.2017","Adlershof"
"Jouis Nour","7.5","Rindergeschnetzeltes in pikanter Pfeffersauce mit Langkornreis und frischen Kräutern","Bio","7.8.2017","Adlershof"
"Jouis Nour","5.9","Bunte Gemüse-Gnocchipfanne an Kräuterrahm","Bio;Vegetarian","7.8.2017","Adlershof"
"Jouis Nour","4","Brokkolisuppe mit Tomatenwürfel und Sonnenblumenkernen","Bio;Vegetarian;Soup","8.8.2017","Adlershof"
"Jouis Nour","7.5","Mini Grillhaxen mit Sellerie-Kartoffelpüree und Malzbiersauce","Bio","8.8.2017","Adlershof"
"Jouis Nour","5.9","Orientalische Gemüse Cous Cous Pfanne mit Joghurt-Minz-Dip","Bio;Vegetarian","8.8.2017","Adlershof"
"Jouis Nour","4","Kichererbsensüppchen mit frischen Kräutern","Vegan;Bio;Vegetarian","9.8.2017","Adlershof"
"Jouis Nour","7.5","Gebratene Hähnchenkeule mit Backkartoffeln, Sour Cream und Cole Slaw","Bio","9.8.2017","Adlershof"
