"19.07.2017","Vegetarian","5.00","Adlershof","Sonnenschein","Gemüse Lasagne, cremige Tomatensauce, Salat (vegetarisch)"
"20.07.2017","Soup","4.00","Adlershof","Sonnenschein","Kartoffelsuppe mit einer Wienerwurst & 1 Brötchen"
"20.07.2017","Fish","6.80","Adlershof","Sonnenschein","Norwegische Lachsroulade mit Spinatkäsefüllung, Butterkartoffeln, Möhrengemüse, Kräuterrahmsauce"
"20.07.2017","","6.00","Adlershof","Sonnenschein","Hähnchen Cordon Bleu, Nudeln, Käsesauce, Babymöhren"
"20.07.2017","","5.90","Adlershof","Sonnenschein","Zrazy (Schweineboulette mit Eilauchfüllung) Butterkartoffeln, Erbsen, Delikates Sauce"
"20.07.2017","Vegetarian","5.00","Adlershof","Sonnenschein","Mit eingelegte Tomaten gefüllte Kartoffelbouletten, Salat, Sauce (vegetarisch)"
"21.07.2017","Soup","4.00","Adlershof","Sonnenschein","Hühner-Curry-Cremesuppe & 1 Brötchen"
"21.07.2017","","6.00","Adlershof","Sonnenschein","Schweine Cordon Bleu, Bratkartoffeln, Champignon Rahmsauce"
"21.07.2017","","6.00","Adlershof","Sonnenschein","Hackschnitte mit Ei auf Gorgonzola Blattspinat, Gnocchi"
"21.07.2017","","6.00","Adlershof","Sonnenschein","Hähnchenschnitzel Wiener Art, Bratkartoffeln, Zitrone, Salat"
"21.07.2017","Vegetarian","5.00","Adlershof","Sonnenschein","Tortellini mit Ricotta-Spinatfüllung, Kräuterrahmsauce (vegetarisch)"
"31.7.2017","Bio","7.5","Adlershof","Jouis Nour","Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat"
"31.7.2017","Vegan;Bio;Vegetarian","5.5","Adlershof","Jouis Nour","Spaghettimit Gemüsebolognese und Sonnenblumenkernen"
"31.7.2017","Vegan;Bio;Vegetarian","4.5","Adlershof","Jouis Nour","Feuriger Paprikatopf mit Tofustückchen"
"17.7.2017","Vegetarian","5","Adlershof","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan"
"17.7.2017","","6","Adlershof","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon"
"17.7.2017","Fish","7","Adlershof","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill"
"18.7.2017","Vegetarian","5","Adlershof","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan"
"18.7.2017","","6","Adlershof","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon"
"18.7.2017","Fish","7","Adlershof","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill"
"19.7.2017","Vegetarian","5","Adlershof","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan"
"19.7.2017","","6","Adlershof","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon"
"19.7.2017","Fish","7","Adlershof","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill"
"20.7.2017","Vegetarian","5","Adlershof","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan"
"20.7.2017","","6","Adlershof","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon"
"20.7.2017","Fish","7","Adlershof","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill"
"21.7.2017","Vegetarian","5","Adlershof","FOOD","Leckerer Rucola-Salat mit Champignon, Parmaschinken und Parmesan"
"21.7.2017","","6","Adlershof","FOOD","Pasta der Woche: Spätzle mit Käse, Cherrytomaten und Bacon"
"21.7.2017","Fish","7","Adlershof","FOOD","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill"
"17.07.2017","","6,60","Adlershof","La Petite","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"18.07.2017","","6,60","Adlershof","La Petite","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"19.07.2017","","6,60","Adlershof","La Petite","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"20.07.2017","","6,60","Adlershof","La Petite","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"21.07.2017","","6,60","Adlershof","La Petite","TVBurger mit saftigem Beef vom Grill, hausgemachter Burgersauce, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"17.07.2017","","6,30","Adlershof","La Petite","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat"
"18.07.2017","","6,30","Adlershof","La Petite","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat"
"19.07.2017","","6,30","Adlershof","La Petite","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat"
"20.07.2017","","6,30","Adlershof","La Petite","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat"
"21.07.2017","","6,30","Adlershof","La Petite","VeggieFitness Burger mit frisch gegrilltem Gemüsepatty aus sonnengereiften Gemüse, fruchtig frischer Mangosauce, Tomaten, Zwiebeln, knackiger Salat und Gewürzgurken + American Krautsalat"
"17.07.2017","","5,80","Adlershof","La Petite","China NudelPfanne mit Hähnchenbrustfilet, Gemüse und Röstzwiebeln"
"18.07.2017","","5,80","Adlershof","La Petite","China NudelPfanne mit Hähnchenbrustfilet, Gemüse und Röstzwiebeln"
"19.07.2017","","5,80","Adlershof","La Petite","China NudelPfanne mit Hähnchenbrustfilet, Gemüse und Röstzwiebeln"
"20.07.2017","","5,80","Adlershof","La Petite","China NudelPfanne mit Hähnchenbrustfilet, Gemüse und Röstzwiebeln"
"21.07.2017","","5,80","Adlershof","La Petite","China NudelPfanne mit Hähnchenbrustfilet, Gemüse und Röstzwiebeln"
"17.07.2017","Fish","5,70","Adlershof","La Petite","Fischstäbchen mit Kartoffelbrei, Dillsauce und Bauernsalat"
"18.07.2017","Fish","5,70","Adlershof","La Petite","Fischstäbchen mit Kartoffelbrei, Dillsauce und Bauernsalat"
"19.07.2017","Fish","5,70","Adlershof","La Petite","Fischstäbchen mit Kartoffelbrei, Dillsauce und Bauernsalat"
"20.07.2017","Fish","5,70","Adlershof","La Petite","Fischstäbchen mit Kartoffelbrei, Dillsauce und Bauernsalat"
"21.07.2017","Fish","5,70","Adlershof","La Petite","Fischstäbchen mit Kartoffelbrei, Dillsauce und Bauernsalat"
