"location","price","dish","ingredients","date","business"
"Adlershof","5.5","Spaghettimit Gemüsebolognese und Sonnenblumenkernen","Bio;Vegetarian;Vegan","31.7.2017","Jouis Nour"
"Adlershof","4.5","Feuriger Paprikatopf mit Tofustückchen","Bio;Vegetarian;Vegan","31.7.2017","Jouis Nour"
"Adlershof","4.5","Thai-Gemüsesuppe mit Kokosmilch und Hähnchen","Soup;Bio","1.8.2017","Jouis Nour"
"Adlershof","7.5","Tafelspitz mit Meerrettichsauce und Fingermöhren an Salzkartoffeln","Bio","1.8.2017","Jouis Nour"
"Adlershof","5.9","Griechischer Spinatauflauf mit Tzatziki und geröstetem Sesam","Bio;Vegetarian","1.8.2017","Jouis Nour"
"Adlershof","4","Spinatcremesuppe mit Tomatenwürfeln","Soup;Bio;Vegetarian","2.8.2017","Jouis Nour"
"Adlershof","7.5","Pikanter Gulasch vom Schwein mit Waldpilzen und Salzkartoffeln","Bio","2.8.2017","Jouis Nour"
"Adlershof","5.5","Pasta mit Gorgonzolasauce, Rucola und Kirschtomaten","Bio;Vegetarian","2.8.2017","Jouis Nour"
"Adlershof","4","Rote Linsensuppe mit Paprikastreifen","Soup;Bio;Vegetarian;Vegan","3.8.2017","Jouis Nour"
"Adlershof","7.9","Gebratener Rotbarsch mit Senfsauce, Kartoffeln und Rahmgurken","Fish","3.8.2017","Jouis Nour"
"Adlershof","5.9","Polenta-Porree-Auflauf mit gerösteten Sonnenblumenkernen und Tomaten-Pesto","Bio","3.8.2017","Jouis Nour"
"Adlershof","4","Kaltes Gurkensüppchen mit Tomaten-Kräuter-Pesto","Bio;Vegetarian","4.8.2017","Jouis Nour"
"Adlershof","7","Geflügelbällchen mit Paprika-Tomaten-Gemüse und Kartoffelecken","Bio","4.8.2017","Jouis Nour"
"Adlershof","5.5","Rahmspinat mit gekochten Eiern an Petersilienkartoffeln","Bio;Vegetarian","4.8.2017","Jouis Nour"
"Adlershof","4","Fruchtige Kürbissuppe mit gerösteten Kürbiskernen","Soup;Bio;Vegetarian;Vegan","7.8.2017","Jouis Nour"
"Adlershof","7.5","Rindergeschnetzeltes in pikanter Pfeffersauce mit Langkornreis und frischen Kräutern","Bio","7.8.2017","Jouis Nour"
